Chay lan thu 2, xet trong so thu 65 (trọng số thứ 5 của ma trận B22), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 66 (trọng số thứ 1 của ma trận B23), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 67 (trọng số thứ 2 của ma trận B23), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 68 (trọng số thứ 3 của ma trận B23), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 69 (trọng số thứ 4 của ma trận B23), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 70 (trọng số thứ 5 của ma trận B23), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 71 (trọng số thứ 1 của ma trận B24), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 72 (trọng số thứ 2 của ma trận B24), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 73 (trọng số thứ 3 của ma trận B24), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 74 (trọng số thứ 4 của ma trận B24), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 75 (trọng số thứ 5 của ma trận B24), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 76 (trọng số thứ 1 của ma trận B25), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 77 (trọng số thứ 2 của ma trận B25), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 78 (trọng số thứ 3 của ma trận B25), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 79 (trọng số thứ 4 của ma trận B25), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 80 (trọng số thứ 5 của ma trận B25), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 81 (trọng số thứ 1 của ma trận B26), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
Chay lan thu 2, xet trong so thu 82 (trọng số thứ 2 của ma trận B26), sai so: [0.203, 0.188, 0.547, 0.17, 0.189, 0.061]
